0.5 9160.22 1.78802e+10 1.13763e+21
0.25 7.96189e+06 7.43745e+15 1.25168e+31
0.125 1.63737e+12 4.17986e+25 6.5506e+47
0.0625 9.47133e+20 1.17292e+41 6.68984e+72
0.03125 8.8444e+33 3.87683e+62 8.12298e+103
0.015625 2.29157e+49 4.89546e+84 8.65098e+124
0.0078125 4.60261e+54 1.52243e+82 1.51793e+79
0.00390625 1.06524e-05 0.000409981 4.72317e-06
0.00195312 5.31235e-06 5.06277e-06 1.62993e-07
0.000976562 2.65272e-06 8.56841e-07 8.13605e-09
0.000488281 1.3255e-06 1.84374e-07 4.53057e-10
0.000244141 6.62534e-07 4.30895e-08 2.66844e-11
0.00012207 3.31213e-07 1.04323e-08 1.61826e-12
6.10352e-05 1.65593e-07 2.56753e-09 9.99201e-14
